shipment_id,shipment_date,warehouse_id,customer_id,planned_transit_days,actual_transit_days,delivery_status,shipment_value_inr,freight_revenue_inr,operational_cost_inr,profit_inr,profit_margin_pct,on_time_flag,delivery_date,warehouse_name,warehouse_region,state,customer_name,customer_segment,customer_region
11,2025-12-05,2,39,2.9,2.9,Delivered,3641.26,450.48,305.05,145.43,32.28,1,2025-12-07,Bengaluru Hub,South,Karnataka,Customer_039,Wholesale,West
12,2025-11-24,4,135,3.0,6.1,Delayed,4331.33,406.4,323.91,82.49,20.3,0,2025-11-30,Mumbai Hub,West,Maharashtra,Customer_135,Enterprise,West
13,2025-11-22,3,110,3.3,3.3,Delivered,303.17,772.2,541.55,230.65,29.87,1,2025-11-25,Chennai Hub,South,Tamil Nadu,Customer_110,Retail,South
14,2025-10-28,5,69,3.2,3.2,Delivered,2254.07,444.76,322.72,122.04,27.44,1,2025-10-31,Delhi Hub,North,Delhi,Customer_069,Retail,West
15,2026-05-15,3,136,3.4,3.4,Delivered,871.54,207.91,158.46,49.45,23.78,1,2026-05-18,Chennai Hub,South,Tamil Nadu,Customer_136,Retail,South
16,2026-04-01,8,96,2.2,2.2,Delivered,975.62,810.36,453.01,357.35,44.1,1,2026-04-03,Ahmedabad Hub,West,Gujarat,Customer_096,E-commerce,East
17,2025-09-30,2,119,2.8,2.8,Delivered,1242.22,530.14,389.4,140.74,26.55,1,2025-10-02,Bengaluru Hub,South,Karnataka,Customer_119,Enterprise,West
18,2025-08-27,8,118,2.9,2.9,Delivered,1087.16,422.99,238.08,184.91,43.71,1,2025-08-29,Ahmedabad Hub,West,Gujarat,Customer_118,Retail,North
19,2026-06-11,8,18,4.5,4.5,Delivered,939.89,442.84,331.44,111.4,25.16,1,2026-06-15,Ahmedabad Hub,West,Gujarat,Customer_018,E-commerce,South
20,2026-02-14,8,102,2.4,2.4,Delivered,2762.59,1393.78,1042.99,350.79,25.17,1,2026-02-16,Ahmedabad Hub,West,Gujarat,Customer_102,E-commerce,West
21,2025-10-25,4,110,2.9,4.2,Returned,1585.46,731.25,585.28,145.97,19.96,0,2025-10-29,Mumbai Hub,West,Maharashtra,Customer_110,Retail,South
22,2026-05-14,8,82,2.8,2.8,Delivered,1247.84,1045.31,629.6,415.71,39.77,1,2026-05-16,Ahmedabad Hub,West,Gujarat,Customer_082,E-commerce,West
23,2026-04-05,1,105,4.9,4.9,Delivered,952.11,288.81,164.48,124.33,43.05,1,2026-04-09,Hyderabad Hub,South,Telangana,Customer_105,Enterprise,South
24,2025-11-04,7,16,3.9,3.9,Delivered,2985.71,598.58,365.17,233.41,38.99,1,2025-11-07,Kolkata Hub,East,West Bengal,Customer_016,Retail,North
25,2025-11-06,6,21,2.2,2.2,Delivered,758.9,517.69,349.35,168.34,32.52,1,2025-11-08,Pune Hub,West,Maharashtra,Customer_021,E-commerce,North
26,2025-08-27,4,138,3.6,3.6,Delivered,758.31,108.9,70.48,38.42,35.28,1,2025-08-30,Mumbai Hub,West,Maharashtra,Customer_138,Wholesale,West
27,2025-10-30,2,106,2.1,2.1,Delivered,1317.48,420.73,254.94,165.79,39.41,1,2025-11-01,Bengaluru Hub,South,Karnataka,Customer_106,Retail,West
28,2025-07-01,1,132,3.5,7.1,Delayed,3143.11,251.37,207.17,44.2,17.58,0,2025-07-08,Hyderabad Hub,South,Telangana,Customer_132,Retail,South
29,2026-02-24,3,44,4.7,4.7,Delivered,4084.05,516.29,351.44,164.85,31.93,1,2026-02-28,Chennai Hub,South,Tamil Nadu,Customer_044,Enterprise,West
30,2026-04-16,8,123,1.0,1.0,Delivered,1453.58,744.7,432.94,311.76,41.86,1,2026-04-17,Ahmedabad Hub,West,Gujarat,Customer_123,Retail,East
31,2025-10-04,5,136,2.1,3.1,Returned,807.26,1113.84,886.47,227.37,20.41,0,2025-10-07,Delhi Hub,North,Delhi,Customer_136,Retail,South
32,2025-11-03,5,111,3.4,3.4,Delivered,4383.03,424.65,333.45,91.2,21.48,1,2025-11-06,Delhi Hub,North,Delhi,Customer_111,Retail,West
33,2025-10-26,7,117,2.8,2.8,Delivered,5485.9,1276.63,917.11,359.52,28.16,1,2025-10-28,Kolkata Hub,East,West Bengal,Customer_117,Wholesale,North
34,2025-08-17,4,126,3.4,3.4,Delivered,2097.71,696.88,548.95,147.93,21.23,1,2025-08-20,Mumbai Hub,West,Maharashtra,Customer_126,E-commerce,West
35,2025-09-27,3,19,3.1,3.1,Delivered,3643.73,937.54,622.48,315.06,33.6,1,2025-09-30,Chennai Hub,South,Tamil Nadu,Customer_019,E-commerce,South
36,2026-02-22,7,64,1.4,1.4,Delivered,974.46,448.67,249.05,199.62,44.49,1,2026-02-23,Kolkata Hub,East,West Bengal,Customer_064,E-commerce,South
37,2026-03-29,6,40,3.9,3.9,Delivered,823.17,208.84,156.22,52.62,25.2,1,2026-04-01,Pune Hub,West,Maharashtra,Customer_040,E-commerce,South
38,2026-01-05,6,51,1.7,1.7,Delivered,1704.13,415.79,238.51,177.28,42.64,1,2026-01-06,Pune Hub,West,Maharashtra,Customer_051,Enterprise,West
39,2026-01-08,7,137,3.4,3.4,Delivered,1563.62,634.23,498.27,135.96,21.44,1,2026-01-11,Kolkata Hub,East,West Bengal,Customer_137,E-commerce,West
40,2025-09-07,2,56,2.7,2.7,Delivered,4605.88,1349.51,845.63,503.88,37.34,1,2025-09-09,Bengaluru Hub,South,Karnataka,Customer_056,Enterprise,South
41,2026-04-04,5,81,5.8,5.8,Delivered,1222.9,1085.32,775.69,309.63,28.53,1,2026-04-09,Delhi Hub,North,Delhi,Customer_081,Enterprise,North
42,2026-06-14,3,143,3.1,3.1,Delivered,1443.53,1391.91,1060.04,331.87,23.84,1,2026-06-17,Chennai Hub,South,Tamil Nadu,Customer_143,E-commerce,North
43,2026-03-04,4,70,3.6,3.6,Delivered,2521.25,1201.57,798.45,403.12,33.55,1,2026-03-07,Mumbai Hub,West,Maharashtra,Customer_070,Enterprise,North
44,2025-09-14,8,128,3.8,3.8,Delivered,2395.86,652.16,428.81,223.35,34.25,1,2025-09-17,Ahmedabad Hub,West,Gujarat,Customer_128,Enterprise,West
45,2025-12-01,1,126,3.6,7.7,Delayed,582.04,583.07,437.18,145.89,25.02,0,2025-12-08,Hyderabad Hub,South,Telangana,Customer_126,E-commerce,West
46,2025-11-21,4,61,3.2,3.2,Delivered,3026.1,426.76,312.4,114.36,26.8,1,2025-11-24,Mumbai Hub,West,Maharashtra,Customer_061,E-commerce,West
47,2025-09-24,4,80,2.1,2.1,Delivered,939.65,336.07,213.35,122.72,36.52,1,2025-09-26,Mumbai Hub,West,Maharashtra,Customer_080,Retail,West
48,2026-01-01,3,121,3.1,6.7,Delayed,4039.45,1066.59,884.49,182.1,17.07,0,2026-01-07,Chennai Hub,South,Tamil Nadu,Customer_121,Wholesale,North
49,2026-04-11,5,101,1.1,1.1,Delivered,2000.19,1277.16,781.18,495.98,38.83,1,2026-04-12,Delhi Hub,North,Delhi,Customer_101,Retail,South
50,2026-02-05,3,77,3.7,3.7,Delivered,1601.21,324.8,238.65,86.15,26.52,1,2026-02-08,Chennai Hub,South,Tamil Nadu,Customer_077,Wholesale,East
51,2025-09-07,1,145,6.4,6.4,Delivered,4755.55,374.23,270.99,103.24,27.59,1,2025-09-13,Hyderabad Hub,South,Telangana,Customer_145,Retail,South
52,2025-08-16,7,126,3.4,3.4,Cancelled,0.0,0.0,0.0,0.0,0.0,0,,Kolkata Hub,East,West Bengal,Customer_126,E-commerce,West
53,2025-10-02,3,22,3.6,3.6,Delivered,544.96,229.83,132.26,97.57,42.45,1,2025-10-05,Chennai Hub,South,Tamil Nadu,Customer_022,Retail,South
54,2026-02-23,2,83,1.5,1.5,Delivered,3644.49,695.68,396.88,298.8,42.95,1,2026-02-24,Bengaluru Hub,South,Karnataka,Customer_083,Retail,West
55,2026-01-20,4,141,2.3,7.2,Delayed,3198.46,515.5,332.37,183.13,35.52,0,2026-01-27,Mumbai Hub,West,Maharashtra,Customer_141,Enterprise,South
56,2026-02-03,5,78,4.2,4.2,Delivered,5082.78,920.11,519.79,400.32,43.51,1,2026-02-07,Delhi Hub,North,Delhi,Customer_078,Retail,West
57,2026-06-06,8,95,1.6,1.6,Delivered,3388.74,871.08,549.88,321.2,36.87,1,2026-06-07,Ahmedabad Hub,West,Gujarat,Customer_095,Wholesale,South
58,2025-08-08,6,109,2.4,2.4,Delivered,1863.42,384.08,284.79,99.29,25.85,1,2025-08-10,Pune Hub,West,Maharashtra,Customer_109,Retail,West
59,2025-10-08,1,110,3.8,7.9,Delayed,967.09,761.66,598.45,163.21,21.43,0,2025-10-15,Hyderabad Hub,South,Telangana,Customer_110,Retail,South
60,2026-04-15,6,52,4.1,9.0,Delayed,2382.52,723.05,520.76,202.29,27.98,0,2026-04-24,Pune Hub,West,Maharashtra,Customer_052,Wholesale,South
61,2026-03-11,4,103,3.1,3.1,Delivered,1171.04,467.74,263.34,204.4,43.7,1,2026-03-14,Mumbai Hub,West,Maharashtra,Customer_103,Retail,East
62,2026-02-07,3,101,3.3,3.3,Delivered,435.12,377.01,217.16,159.85,42.4,1,2026-02-10,Chennai Hub,South,Tamil Nadu,Customer_101,Retail,South
63,2026-06-22,6,142,3.3,3.3,Delivered,810.44,934.89,601.48,333.41,35.66,1,2026-06-25,Pune Hub,West,Maharashtra,Customer_142,Retail,South
64,2025-07-23,2,63,1.8,1.8,Delivered,907.58,431.95,270.42,161.53,37.4,1,2025-07-24,Bengaluru Hub,South,Karnataka,Customer_063,Wholesale,North
65,2026-03-07,3,28,3.1,3.1,Delivered,2213.81,348.48,253.5,94.98,27.26,1,2026-03-10,Chennai Hub,South,Tamil Nadu,Customer_028,E-commerce,West
66,2025-07-10,4,46,3.5,3.5,Delivered,404.1,502.41,354.89,147.52,29.36,1,2025-07-13,Mumbai Hub,West,Maharashtra,Customer_046,Wholesale,South
67,2026-03-03,6,28,3.1,3.1,Delivered,477.6,896.44,689.52,206.92,23.08,1,2026-03-06,Pune Hub,West,Maharashtra,Customer_028,E-commerce,West
68,2026-05-21,8,2,1.1,1.1,Delivered,1057.59,1665.07,1310.55,354.52,21.29,1,2026-05-22,Ahmedabad Hub,West,Gujarat,Customer_002,Enterprise,South
69,2025-10-08,7,127,4.9,4.9,Delivered,845.92,203.52,112.01,91.51,44.96,1,2025-10-12,Kolkata Hub,East,West Bengal,Customer_127,Wholesale,North
70,2026-04-16,1,17,2.0,2.0,Delivered,1871.07,1206.69,732.5,474.19,39.3,1,2026-04-18,Hyderabad Hub,South,Telangana,Customer_017,Retail,South
71,2025-12-27,6,59,3.3,3.3,Delivered,1206.76,673.81,383.73,290.08,43.05,1,2025-12-30,Pune Hub,West,Maharashtra,Customer_059,Retail,South
72,2026-02-08,8,132,3.6,5.8,Returned,1265.09,281.09,222.4,58.69,20.88,0,2026-02-13,Ahmedabad Hub,West,Gujarat,Customer_132,Retail,South
73,2026-03-07,7,77,2.7,2.7,Delivered,2743.35,532.8,372.6,160.2,30.07,1,2026-03-09,Kolkata Hub,East,West Bengal,Customer_077,Wholesale,East
74,2025-11-24,7,131,3.5,3.5,Delivered,3048.34,526.43,324.59,201.84,38.34,1,2025-11-27,Kolkata Hub,East,West Bengal,Customer_131,E-commerce,East
75,2025-10-04,6,115,2.3,2.3,Delivered,932.17,345.34,206.33,139.01,40.25,1,2025-10-06,Pune Hub,West,Maharashtra,Customer_115,E-commerce,East
76,2026-03-14,5,97,5.6,5.6,Delivered,2239.38,1495.89,967.38,528.51,35.33,1,2026-03-19,Delhi Hub,North,Delhi,Customer_097,E-commerce,West
77,2026-05-21,6,105,2.9,7.0,Delayed,759.0,458.95,299.87,159.08,34.66,0,2026-05-28,Pune Hub,West,Maharashtra,Customer_105,Enterprise,South
78,2025-07-04,4,24,4.2,7.5,Delayed,2684.17,300.75,266.8,33.95,11.29,0,2025-07-11,Mumbai Hub,West,Maharashtra,Customer_024,E-commerce,South
79,2025-07-16,7,35,2.0,2.0,Delivered,671.13,875.5,693.19,182.31,20.82,1,2025-07-18,Kolkata Hub,East,West Bengal,Customer_035,Enterprise,South
80,2026-04-06,1,2,4.0,4.0,Delivered,3221.45,535.6,312.57,223.03,41.64,1,2026-04-10,Hyderabad Hub,South,Telangana,Customer_002,Enterprise,South
81,2026-06-01,4,33,2.4,2.4,Delivered,238.64,379.16,226.48,152.68,40.27,1,2026-06-03,Mumbai Hub,West,Maharashtra,Customer_033,Retail,East
82,2026-03-04,2,76,1.7,1.7,Delivered,709.88,502.98,347.74,155.24,30.86,1,2026-03-05,Bengaluru Hub,South,Karnataka,Customer_076,Wholesale,South
83,2026-03-15,3,86,2.0,2.0,Delivered,1042.88,709.55,445.03,264.52,37.28,1,2026-03-17,Chennai Hub,South,Tamil Nadu,Customer_086,Retail,North
84,2025-12-07,6,138,2.3,2.3,Delivered,1230.17,562.98,311.35,251.63,44.7,1,2025-12-09,Pune Hub,West,Maharashtra,Customer_138,Wholesale,West
85,2026-06-05,5,81,3.3,3.3,Cancelled,0.0,0.0,0.0,0.0,0.0,0,,Delhi Hub,North,Delhi,Customer_081,Enterprise,North
86,2025-11-29,1,62,6.4,6.4,Delivered,978.12,1010.08,725.55,284.53,28.17,1,2025-12-05,Hyderabad Hub,South,Telangana,Customer_062,Retail,North
87,2025-12-25,5,43,6.2,6.2,Delivered,1331.46,915.4,551.59,363.81,39.74,1,2025-12-31,Delhi Hub,North,Delhi,Customer_043,Retail,East
88,2025-12-10,5,121,2.8,2.8,Delivered,246.76,228.61,156.5,72.11,31.54,1,2025-12-12,Delhi Hub,North,Delhi,Customer_121,Wholesale,North
89,2025-08-02,5,59,4.3,4.3,Delivered,1953.09,851.73,527.33,324.4,38.09,1,2025-08-06,Delhi Hub,North,Delhi,Customer_059,Retail,South
90,2025-12-26,6,9,1.8,1.8,Delivered,1979.71,658.63,448.68,209.95,31.88,1,2025-12-27,Pune Hub,West,Maharashtra,Customer_009,E-commerce,South
91,2025-10-09,1,77,1.0,1.0,Delivered,3177.42,255.06,203.98,51.08,20.03,1,2025-10-10,Hyderabad Hub,South,Telangana,Customer_077,Wholesale,East
92,2026-03-25,1,63,3.2,3.2,Delivered,6662.74,357.93,258.67,99.26,27.73,1,2026-03-28,Hyderabad Hub,South,Telangana,Customer_063,Wholesale,North
93,2026-05-19,7,52,3.8,3.8,Delivered,705.2,204.68,130.31,74.37,36.33,1,2026-05-22,Kolkata Hub,East,West Bengal,Customer_052,Wholesale,South
94,2025-09-03,5,23,4.1,4.1,Delivered,3574.56,916.93,725.59,191.34,20.87,1,2025-09-07,Delhi Hub,North,Delhi,Customer_023,Retail,West
95,2025-12-15,7,30,4.4,4.4,Delivered,489.82,340.19,190.05,150.14,44.13,1,2025-12-19,Kolkata Hub,East,West Bengal,Customer_030,Retail,South
96,2026-05-26,7,21,2.8,2.8,Delivered,1261.83,168.51,99.88,68.63,40.73,1,2026-05-28,Kolkata Hub,East,West Bengal,Customer_021,E-commerce,North
97,2025-08-12,3,43,3.3,3.3,Delivered,2027.45,318.46,214.84,103.62,32.54,1,2025-08-15,Chennai Hub,South,Tamil Nadu,Customer_043,Retail,East
98,2025-08-13,6,135,4.1,4.1,Delivered,2017.25,976.82,608.59,368.23,37.7,1,2025-08-17,Pune Hub,West,Maharashtra,Customer_135,Enterprise,West
99,2026-04-11,6,16,4.5,4.5,Delivered,3079.19,756.32,552.1,204.22,27.0,1,2026-04-15,Pune Hub,West,Maharashtra,Customer_016,Retail,North
100,2025-07-12,4,23,2.2,2.2,Delivered,1145.89,97.32,54.36,42.96,44.14,1,2025-07-14,Mumbai Hub,West,Maharashtra,Customer_023,Retail,West
101,2025-10-03,8,87,3.4,3.4,Delivered,1685.35,696.73,430.93,265.8,38.15,1,2025-10-06,Ahmedabad Hub,West,Gujarat,Customer_087,Wholesale,South
102,2026-04-28,7,31,3.9,3.9,Delivered,1801.74,364.11,278.14,85.97,23.61,1,2026-05-01,Kolkata Hub,East,West Bengal,Customer_031,E-commerce,South
103,2026-03-10,6,121,3.4,6.3,Delayed,3976.21,346.17,282.46,63.71,18.4,0,2026-03-16,Pune Hub,West,Maharashtra,Customer_121,Wholesale,North
104,2026-02-27,5,69,2.5,6.6,Delayed,1542.96,410.65,288.74,121.91,29.69,0,2026-03-05,Delhi Hub,North,Delhi,Customer_069,Retail,West
105,2025-08-04,8,134,3.2,3.2,Delivered,1114.96,181.93,123.65,58.28,32.03,1,2025-08-07,Ahmedabad Hub,West,Gujarat,Customer_134,Retail,South
106,2026-01-31,2,115,3.8,7.7,Delayed,2793.38,318.94,255.8,63.14,19.8,0,2026-02-07,Bengaluru Hub,South,Karnataka,Customer_115,E-commerce,East
107,2026-06-02,5,59,2.4,2.4,Delivered,1536.45,159.06,98.72,60.34,37.94,1,2026-06-04,Delhi Hub,North,Delhi,Customer_059,Retail,South
108,2025-09-28,1,146,1.9,1.9,Delivered,3156.15,1652.68,1259.56,393.12,23.79,1,2025-09-29,Hyderabad Hub,South,Telangana,Customer_146,Retail,West
109,2026-03-21,6,77,5.5,5.5,Delivered,3152.42,511.95,390.55,121.4,23.71,1,2026-03-26,Pune Hub,West,Maharashtra,Customer_077,Wholesale,East
110,2025-10-01,8,138,3.4,7.2,Delayed,310.91,1021.44,842.12,179.32,17.56,0,2025-10-08,Ahmedabad Hub,West,Gujarat,Customer_138,Wholesale,West
111,2025-09-28,6,7,4.2,4.2,Delivered,6267.34,920.39,645.17,275.22,29.9,1,2025-10-02,Pune Hub,West,Maharashtra,Customer_007,Retail,North
112,2025-10-23,4,37,3.4,3.4,Delivered,525.81,788.17,575.12,213.05,27.03,1,2025-10-26,Mumbai Hub,West,Maharashtra,Customer_037,Retail,North
113,2025-10-13,7,86,4.4,4.4,Delivered,1785.48,359.77,261.19,98.58,27.4,1,2025-10-17,Kolkata Hub,East,West Bengal,Customer_086,Retail,North
114,2026-01-12,2,16,3.3,3.3,Delivered,946.66,278.57,176.39,102.18,36.68,1,2026-01-15,Bengaluru Hub,South,Karnataka,Customer_016,Retail,North
115,2026-05-10,6,116,3.8,3.8,Delivered,894.65,381.3,272.74,108.56,28.47,1,2026-05-13,Pune Hub,West,Maharashtra,Customer_116,Enterprise,North
116,2025-10-22,4,118,2.0,2.0,Cancelled,0.0,0.0,0.0,0.0,0.0,0,,Mumbai Hub,West,Maharashtra,Customer_118,Retail,North
117,2025-09-13,4,14,1.3,1.3,Delivered,2891.52,1060.7,598.08,462.62,43.61,1,2025-09-14,Mumbai Hub,West,Maharashtra,Customer_014,Retail,West
118,2026-02-02,2,139,2.7,6.7,Delayed,1179.81,668.33,443.35,224.98,33.66,0,2026-02-08,Bengaluru Hub,South,Karnataka,Customer_139,E-commerce,South
119,2026-04-03,5,87,1.6,1.6,Delivered,3485.95,242.23,184.85,57.38,23.69,1,2026-04-04,Delhi Hub,North,Delhi,Customer_087,Wholesale,South
120,2026-03-06,5,104,1.0,1.0,Delivered,1149.28,524.71,367.62,157.09,29.94,1,2026-03-07,Delhi Hub,North,Delhi,Customer_104,E-commerce,South
121,2025-12-11,5,141,3.5,3.5,Delivered,1131.11,498.59,277.62,220.97,44.32,1,2025-12-14,Delhi Hub,North,Delhi,Customer_141,Enterprise,South
122,2026-06-22,3,44,1.3,5.8,Delayed,733.11,501.69,452.26,49.43,9.85,0,2026-06-27,Chennai Hub,South,Tamil Nadu,Customer_044,Enterprise,West
123,2026-01-08,7,28,4.2,4.2,Delivered,1410.63,1318.09,759.99,558.1,42.34,1,2026-01-12,Kolkata Hub,East,West Bengal,Customer_028,E-commerce,West
124,2026-02-12,8,16,4.8,4.8,Delivered,243.09,580.63,441.22,139.41,24.01,1,2026-02-16,Ahmedabad Hub,West,Gujarat,Customer_016,Retail,North
125,2025-12-24,7,50,1.6,3.9,Delayed,3404.83,429.02,334.25,94.77,22.09,0,2025-12-27,Kolkata Hub,East,West Bengal,Customer_050,Retail,North
126,2025-10-07,5,115,3.5,3.5,Delivered,2033.26,662.4,412.58,249.82,37.71,1,2025-10-10,Delhi Hub,North,Delhi,Customer_115,E-commerce,East
127,2025-08-05,2,68,5.2,5.2,Delivered,1573.83,348.35,245.38,102.97,29.56,1,2025-08-10,Bengaluru Hub,South,Karnataka,Customer_068,Wholesale,North
128,2025-10-04,3,92,2.7,2.7,Delivered,265.64,1129.62,670.4,459.22,40.65,1,2025-10-06,Chennai Hub,South,Tamil Nadu,Customer_092,Wholesale,East
129,2025-11-29,7,121,3.9,3.9,Delivered,780.58,186.65,127.75,58.9,31.56,1,2025-12-02,Kolkata Hub,East,West Bengal,Customer_121,Wholesale,North
130,2025-11-28,5,140,5.8,9.3,Delayed,182.18,520.51,400.14,120.37,23.13,0,2025-12-07,Delhi Hub,North,Delhi,Customer_140,Enterprise,West
131,2026-01-06,3,16,1.4,1.4,Delivered,574.29,432.58,263.9,168.68,38.99,1,2026-01-07,Chennai Hub,South,Tamil Nadu,Customer_016,Retail,North
132,2026-02-09,8,53,2.1,2.1,Delivered,1456.06,535.92,384.22,151.7,28.31,1,2026-02-11,Ahmedabad Hub,West,Gujarat,Customer_053,Enterprise,South
133,2025-08-06,2,49,3.8,7.4,Delayed,2111.27,1263.21,1015.66,247.55,19.6,0,2025-08-13,Bengaluru Hub,South,Karnataka,Customer_049,E-commerce,East
134,2026-03-25,5,62,5.6,5.6,Delivered,770.51,377.16,287.63,89.53,23.74,1,2026-03-30,Delhi Hub,North,Delhi,Customer_062,Retail,North
135,2025-12-30,8,84,2.4,2.4,Delivered,681.91,412.05,235.23,176.82,42.91,1,2026-01-01,Ahmedabad Hub,West,Gujarat,Customer_084,Retail,West
136,2025-07-13,1,56,5.9,5.9,Delivered,2539.98,302.47,224.6,77.87,25.74,1,2025-07-18,Hyderabad Hub,South,Telangana,Customer_056,Enterprise,South
137,2026-04-05,8,120,3.3,3.3,Delivered,1636.79,891.45,587.86,303.59,34.06,1,2026-04-08,Ahmedabad Hub,West,Gujarat,Customer_120,E-commerce,South
138,2026-02-02,6,90,1.0,1.0,Delivered,2749.24,314.98,197.8,117.18,37.2,1,2026-02-03,Pune Hub,West,Maharashtra,Customer_090,E-commerce,South
139,2026-06-20,2,150,4.9,7.5,Delayed,3901.62,440.99,421.86,19.13,4.34,0,2026-06-27,Bengaluru Hub,South,Karnataka,Customer_150,Retail,South
140,2026-06-26,8,120,2.7,7.6,Delayed,1909.82,873.92,624.31,249.61,28.56,0,2026-07-03,Ahmedabad Hub,West,Gujarat,Customer_120,E-commerce,South
141,2026-04-12,8,73,3.7,3.7,Delivered,1032.81,628.67,412.27,216.4,34.42,1,2026-04-15,Ahmedabad Hub,West,Gujarat,Customer_073,Retail,South
142,2026-03-30,4,69,1.4,1.4,Delivered,1275.44,787.56,524.53,263.03,33.4,1,2026-03-31,Mumbai Hub,West,Maharashtra,Customer_069,Retail,West
143,2025-08-31,4,98,2.4,2.4,Delivered,1385.37,362.13,226.11,136.02,37.56,1,2025-09-02,Mumbai Hub,West,Maharashtra,Customer_098,E-commerce,East
144,2025-09-22,8,2,1.6,1.6,Delivered,1250.38,614.17,351.46,262.71,42.77,1,2025-09-23,Ahmedabad Hub,West,Gujarat,Customer_002,Enterprise,South
145,2026-02-02,8,53,1.4,1.4,Delivered,2049.18,292.06,226.72,65.34,22.37,1,2026-02-03,Ahmedabad Hub,West,Gujarat,Customer_053,Enterprise,South
146,2026-06-07,2,119,3.3,3.3,Delivered,1606.52,468.07,362.05,106.02,22.65,1,2026-06-10,Bengaluru Hub,South,Karnataka,Customer_119,Enterprise,West
147,2026-01-03,4,7,3.8,3.8,Delivered,702.33,149.43,105.68,43.75,29.28,1,2026-01-06,Mumbai Hub,West,Maharashtra,Customer_007,Retail,North
148,2025-07-19,7,148,2.6,2.6,Delivered,503.75,1323.76,835.42,488.34,36.89,1,2025-07-21,Kolkata Hub,East,West Bengal,Customer_148,E-commerce,South
149,2025-12-24,2,75,1.6,1.6,Delivered,1448.62,644.19,455.44,188.75,29.3,1,2025-12-25,Bengaluru Hub,South,Karnataka,Customer_075,Wholesale,South
150,2025-10-08,1,95,1.8,1.8,Delivered,144.32,322.86,255.42,67.44,20.89,1,2025-10-09,Hyderabad Hub,South,Telangana,Customer_095,Wholesale,South
151,2026-02-18,2,3,3.6,3.6,Delivered,3207.04,687.0,529.57,157.43,22.92,1,2026-02-21,Bengaluru Hub,South,Karnataka,Customer_003,Wholesale,South
152,2025-09-14,5,79,3.3,3.3,Delivered,915.77,780.71,461.71,319.0,40.86,1,2025-09-17,Delhi Hub,North,Delhi,Customer_079,E-commerce,East
153,2026-03-22,5,17,3.6,3.6,Delivered,4336.88,983.84,741.86,241.98,24.6,1,2026-03-25,Delhi Hub,North,Delhi,Customer_017,Retail,South
154,2026-04-10,3,112,4.9,9.2,Delayed,3598.02,386.61,340.22,46.39,12.0,0,2026-04-19,Chennai Hub,South,Tamil Nadu,Customer_112,Retail,East
155,2026-01-22,4,52,3.8,3.8,Delivered,3655.2,718.33,559.8,158.53,22.07,1,2026-01-25,Mumbai Hub,West,Maharashtra,Customer_052,Wholesale,South
156,2026-02-08,8,7,3.6,3.6,Delivered,1055.99,609.24,342.32,266.92,43.81,1,2026-02-11,Ahmedabad Hub,West,Gujarat,Customer_007,Retail,North
157,2025-08-21,6,112,5.8,5.8,Delivered,536.33,1173.13,870.02,303.11,25.84,1,2025-08-26,Pune Hub,West,Maharashtra,Customer_112,Retail,East
158,2026-06-04,4,133,2.9,2.9,Delivered,2004.6,394.81,271.05,123.76,31.35,1,2026-06-06,Mumbai Hub,West,Maharashtra,Customer_133,Retail,West
159,2025-11-21,7,54,5.8,8.4,Delayed,2350.15,308.6,241.59,67.01,21.71,0,2025-11-29,Kolkata Hub,East,West Bengal,Customer_054,Enterprise,East
